Show Title,Actors,Rating
The Adventures of Sherlock Holmes,"['Jeremy Brett', ' David Burke']",8.7
The Jinx: The Life and Deaths of Robert Durst,"['Robert Durst', ' Andrew Jarecki']",8.7
The Thick of It,"['Chris Addison', ' James Smith']",8.7
Six Feet Under,"['Peter Krause', ' Michael C. Hall']",8.6
Westworld,"['Evan Rachel Wood', ' Jeffrey Wright']",8.6
South Park,"['Trey Parker', ' Matt Stone']",8.6
Yakusoku no Neverland,"['Sumire Morohoshi', ' Maaya Uchida']",8.6
Demon Slayer: Kimetsu No Yaiba,"['Natsuki Hanae', ' Zach Aguilar']",8.6
The Simpsons,"['Dan Castellaneta', ' Nancy Cartwright']",8.6
The Return of Sherlock Holmes,"['Jeremy Brett', ' Edward Hardwicke']",8.6
House M.D.,"['Hugh Laurie', ' Omar Epps']",8.6
One Piece: Wan pîsu,"['Mayumi Tanaka', ' Tony Beck']",8.6
Critical Role,"[""Liam O'Brien"", ' Matthew Mercer']",8.6
Battlestar Galactica,"['Edward James Olmos', ' Mary McDonnell']",8.6
The Mandalorian,"['Pedro Pascal', ' Carl Weathers']",8.6
The Crown,"['Claire Foy', ' Olivia Colman']",8.6
Top Gear,"['Jeremy Clarkson', ' Richard Hammond']",8.6
The Shield,"['Michael Chiklis', ' Catherine Dent']",8.6
Content Cop,"['Ian Carter', ' Calvin Vail']",8.6
The Grand Tour,"['Jeremy Clarkson', ' James May']",8.6
This Is Us,"['Milo Ventimiglia', ' Mandy Moore']",8.6
The Haunting of Hill House,"['Henry Thomas', ' Oliver Jackson-Cohen']",8.6
Aranyélet,"['Szabolcs Thuróczy', ' Eszter Ónodi']",8.6
Downton Abbey,"['Hugh Bonneville', ' Phyllis Logan']",8.6
Lonesome Dove,"['Robert Duvall', ' Tommy Lee Jones']",8.6
Deadwood,"['Timothy Olyphant', ' Ian McShane']",8.6
Kenpû Denki Berserk,"['Nobutoshi Canna', ' Marc Diraison']",8.6
Yeh Meri Family,"['Vishesh Bansal', ' Mona Singh']",8.6
Bron/Broen,"['Sofia Helin', ' Rafael Pettersson']",8.6
Atlanta,"['Donald Glover', ' Brian Tyree Henry']",8.6
Blackadder II,"['Rowan Atkinson', ' Tony Robinson']",8.6
Star Trek: The Next Generation,"['Patrick Stewart', ' Brent Spiner']",8.6
The Memoirs of Sherlock Holmes,"['Jeremy Brett', ' Rosalie Williams']",8.6
Parks and Recreation,"['Amy Poehler', "" Jim O'Heir""]",8.6
The X Files,"['David Duchovny', ' Gillian Anderson']",8.6
Line of Duty,"['Martin Compston', ' Vicky McClure']",8.6
Priklyucheniya Sherloka Kholmsa i doktora Vatsona: Sobaka Baskerviley,"['Vasiliy Livanov', ' Vitali Solomin']",8.6
Battlestar Galactica,"['Edward James Olmos', ' Mary McDonnell']",8.6
Friday Night Lights,"['Kyle Chandler', ' Connie Britton']",8.6
Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,"['Johnny Yong Bosch', ' Yuri Lowenthal']",8.6
Archer,"['H. Jon Benjamin', ' Judy Greer']",8.6
Mad Men,"['Jon Hamm', ' Elisabeth Moss']",8.6
Gomorra: La serie,"['Salvatore Esposito', "" Marco D'Amore""]",8.6
