Movie Title,Actors,Director,Rating
Once Upon a Time in America,"[' Robert De Niro', ' James Woods']",['Sergio Leone (dir.)'],8.3
Avengers: Endgame,"[' Robert Downey Jr.', ' Chris Evans']",['Anthony Russo (dir.)'],8.3
Aliens,"[' Sigourney Weaver', ' Michael Biehn']",['James Cameron (dir.)'],8.3
Kimi no na wa.,"[' Ryûnosuke Kamiki', ' Mone Kamishiraishi']",['Makoto Shinkai (dir.)'],8.3
Coco,"[' Anthony Gonzalez', ' Gael García Bernal']",['Lee Unkrich (dir.)'],8.3
American Beauty,"[' Kevin Spacey', ' Annette Bening']",['Sam Mendes (dir.)'],8.3
Braveheart,"[' Mel Gibson', ' Sophie Marceau']",['Mel Gibson (dir.)'],8.3
3 Idiots,"[' Aamir Khan', ' Madhavan']",['Rajkumar Hirani (dir.)'],8.3
Das Boot,"[' Jürgen Prochnow', ' Herbert Grönemeyer']",['Wolfgang Petersen (dir.)'],8.3
Toy Story,"[' Tom Hanks', ' Tim Allen']",['John Lasseter (dir.)'],8.3
Tengoku to jigoku,"[' Toshirô Mifune', ' Yutaka Sada']",['Akira Kurosawa (dir.)'],8.3
Amadeus,"[' F. Murray Abraham', ' Tom Hulce']",['Milos Forman (dir.)'],8.3
Taare Zameen Par,"[' Darsheel Safary', ' Aamir Khan']",['Aamir Khan (dir.)'],8.3
Star Wars: Episode VI - Return of the Jedi,"[' Mark Hamill', ' Harrison Ford']",['Richard Marquand (dir.)'],8.3
Inglourious Basterds,"[' Brad Pitt', ' Diane Kruger']",['Quentin Tarantino (dir.)'],8.3
Reservoir Dogs,"[' Harvey Keitel', ' Tim Roth']",['Quentin Tarantino (dir.)'],8.3
Good Will Hunting,"[' Robin Williams', ' Matt Damon']",['Gus Van Sant (dir.)'],8.3
Capharnaüm,"[' Zain Al Rafeea', ' Yordanos Shiferaw']",['Nadine Labaki (dir.)'],8.3
2001: A Space Odyssey,"[' Keir Dullea', ' Gary Lockwood']",['Stanley Kubrick (dir.)'],8.3
1917,"[' Dean-Charles Chapman', ' George MacKay']",['Sam Mendes (dir.)'],8.3
Vertigo,"[' James Stewart', ' Kim Novak']",['Alfred Hitchcock (dir.)'],8.3
Requiem for a Dream,"[' Ellen Burstyn', ' Jared Leto']",['Darren Aronofsky (dir.)'],8.3
M - Eine Stadt sucht einen Mörder,"[' Peter Lorre', ' Ellen Widmann']",['Fritz Lang (dir.)'],8.3
Dangal,"[' Aamir Khan', ' Sakshi Tanwar']",['Nitesh Tiwari (dir.)'],8.3
Eternal Sunshine of the Spotless Mind,"[' Jim Carrey', ' Kate Winslet']",['Michel Gondry (dir.)'],8.3
Jagten,"[' Mads Mikkelsen', ' Thomas Bo Larsen']",['Thomas Vinterberg (dir.)'],8.3
Citizen Kane,"[' Orson Welles', ' Joseph Cotten']",['Orson Welles (dir.)'],8.3
Full Metal Jacket,"[' Matthew Modine', ' R. Lee Ermey']",['Stanley Kubrick (dir.)'],8.3
Ladri di biciclette,"[' Lamberto Maggiorani', ' Enzo Staiola']",['Vittorio De Sica (dir.)'],8.2
North by Northwest,"[' Cary Grant', ' Eva Marie Saint']",['Alfred Hitchcock (dir.)'],8.2
A Clockwork Orange,"[' Malcolm McDowell', ' Patrick Magee']",['Stanley Kubrick (dir.)'],8.2
The Kid,"[' Charles Chaplin', ' Edna Purviance']",['Charles Chaplin (dir.)'],8.2
Snatch,"[' Jason Statham', ' Brad Pitt']",['Guy Ritchie (dir.)'],8.2
Singin' in the Rain,"[' Gene Kelly', "" Donald O'Connor""]",['Stanley Donen (dir.)'],8.2
Scarface,"[' Al Pacino', ' Michelle Pfeiffer']",['Brian De Palma (dir.)'],8.2
Taxi Driver,"[' Robert De Niro', ' Jodie Foster']",['Martin Scorsese (dir.)'],8.2
Amélie,"[' Audrey Tautou', ' Mathieu Kassovitz']",['Jean-Pierre Jeunet (dir.)'],8.2
Lawrence of Arabia,"["" Peter O'Toole"", ' Alec Guinness']",['David Lean (dir.)'],8.2
Toy Story 3,"[' Tom Hanks', ' Tim Allen']",['Lee Unkrich (dir.)'],8.2
The Sting,"[' Paul Newman', ' Robert Redford']",['George Roy Hill (dir.)'],8.2
Ikiru,"[' Takashi Shimura', ' Nobuo Kaneko']",['Akira Kurosawa (dir.)'],8.2
Metropolis,"[' Brigitte Helm', ' Alfred Abel']",['Fritz Lang (dir.)'],8.2
Jodaeiye Nader az Simin,"[' Payman Maadi', ' Leila Hatami']",['Asghar Farhadi (dir.)'],8.2
Per qualche dollaro in più,"[' Clint Eastwood', ' Lee Van Cleef']",['Sergio Leone (dir.)'],8.2
Incendies,"[' Lubna Azabal', ' Mélissa Désormeaux-Poulin']",['Denis Villeneuve (dir.)'],8.2
The Apartment,"[' Jack Lemmon', ' Shirley MacLaine']",['Billy Wilder (dir.)'],8.2
Double Indemnity,"[' Fred MacMurray', ' Barbara Stanwyck']",['Billy Wilder (dir.)'],8.2
To Kill a Mockingbird,"[' Gregory Peck', ' John Megna']",['Robert Mulligan (dir.)'],8.2
Anand,"[' Rajesh Khanna', ' Amitabh Bachchan']",['Hrishikesh Mukherjee (dir.)'],8.2
Indiana Jones and the Last Crusade,"[' Harrison Ford', ' Sean Connery']",['Steven Spielberg (dir.)'],8.2
Up,"[' Edward Asner', ' Jordan Nagai']",['Pete Docter (dir.)'],8.2
Idi i smotri,"[' Aleksey Kravchenko', ' Olga Mironova']",['Elem Klimov (dir.)'],8.2
L.A. Confidential,"[' Kevin Spacey', ' Russell Crowe']",['Curtis Hanson (dir.)'],8.2
Heat,"[' Al Pacino', ' Robert De Niro']",['Michael Mann (dir.)'],8.2
Monty Python and the Holy Grail,"[' Graham Chapman', ' John Cleese']",['Terry Gilliam (dir.)'],8.2
Die Hard,"[' Bruce Willis', ' Alan Rickman']",['John McTiernan (dir.)'],8.2
Rashômon,"[' Toshirô Mifune', ' Machiko Kyô']",['Akira Kurosawa (dir.)'],8.2
Yôjinbô,"[' Toshirô Mifune', ' Eijirô Tôno']",['Akira Kurosawa (dir.)'],8.2
Batman Begins,"[' Christian Bale', ' Michael Caine']",['Christopher Nolan (dir.)'],8.2
Green Book,"[' Viggo Mortensen', ' Mahershala Ali']",['Peter Farrelly (dir.)'],8.2
Der Untergang,"[' Bruno Ganz', ' Alexandra Maria Lara']",['Oliver Hirschbiegel (dir.)'],8.2
Bacheha-Ye aseman,"[' Mohammad Amir Naji', ' Amir Farrokh Hashemian']",['Majid Majidi (dir.)'],8.2
Unforgiven,"[' Clint Eastwood', ' Gene Hackman']",['Clint Eastwood (dir.)'],8.2
Some Like It Hot,"[' Marilyn Monroe', ' Tony Curtis']",['Billy Wilder (dir.)'],8.2
